Subject,Start Date,Start Time,End Date,End Time,Description,Location
Term 2 Begins – All students report back to school,2025-08-01,08:00,2025-08-01,15:00,First day of Term 2. All students must report back to school in full uniform.,OrchardsWood International School
Class Orientation Days (New students meet teachers & tour facilities),2025-08-02,08:00,2025-08-03,15:00,New students will meet their teachers and tour the school facilities. Parents welcome to attend.,OrchardsWood International School
Public Holiday – Civic Day (No school),2025-08-05,00:00,2025-08-05,23:59,School closed for Civic Day public holiday. No classes or activities.,School Closed
Clubs & Societies Registration Opens,2025-08-07,08:00,2025-08-07,16:00,Registration opens for all after-school clubs and societies. Students can sign up for their preferred activities.,School Office
First Weekly Assessment – English & Math (Years 4–8),2025-08-09,08:00,2025-08-09,12:00,Weekly assessment covering English and Mathematics for students in Years 4-8.,Classrooms
After-School Activities Resume (3:30 PM – 5:00 PM),2025-08-12,15:30,2025-08-12,17:00,All after-school activities and clubs resume. Activities include sports, music, art, and academic clubs.,School Grounds
Digital Learning & Online Safety – 5:30 PM in the Auditorium,2025-08-14,17:30,2025-08-14,19:00,Parent seminar on digital learning tools and online safety for children. All parents encouraged to attend.,School Auditorium
House Color Day – Students wear house t-shirts and engage in team-building games,2025-08-16,08:00,2025-08-16,15:00,Students wear their house t-shirts and participate in team-building activities and games.,School Grounds
Mid-Term Exams – Years 6 to 11,2025-08-19,08:00,2025-08-23,15:00,Mid-term examinations for students in Years 6-11. Regular class schedule suspended during exam period.,Classrooms
School Open Day – Prospective parents and students tour the school (10 AM – 2 PM),2025-08-24,10:00,2025-08-24,14:00,Open day for prospective parents and students. School tours, meet teachers, and learn about our programs.,OrchardsWood International School
Supporting Your Child's Academic Progress – 6:00 PM in the Library,2025-08-27,18:00,2025-08-27,19:30,Parent seminar on how to support your child's academic progress at home. Practical tips and strategies.,School Library
School Photo Day – All students to wear formal school uniform,2025-08-28,08:00,2025-08-28,15:00,Professional school photos will be taken. All students must wear complete formal school uniform.,School Hall
End of Month Review Tests (Years 1–5),2025-08-30,08:00,2025-08-30,12:00,End of month review tests for students in Years 1-5. Covers all subjects taught during the month.,Classrooms 
